time_us,state,temperature_chip_celsius,deployment_percent,pressure_mb,altitude,altitude_filt,velocity_filt,temperature_alt_celsius,mid_imu_ax,mid_imu_ay,mid_imu_az,mid_imu_gx,mid_imu_gy,mid_imu_gz,mag_x,mag_y,mag_z,high_g_x,high_g_y,high_g_z,drag_force,apogee_prediction,desired_drag_force
77792416,PAD,25.27,0,917.20,832.10,6.10,9.75,28.76,0.42,0.02,0.68,321.83,320.85,332.44,1011,5497,-327,0.34,-0.34,0.34,108.10,10.11,-20243.87
77802419,PAD,24.80,0,917.59,828.60,6.10,9.75,28.76,0.43,0.01,0.68,322.32,320.61,333.90,1011,5497,-327,0.24,-0.15,0.24,108.10,10.11,-20243.87
77812416,PAD,24.80,0,917.20,832.10,6.08,9.68,28.76,0.43,0.01,0.68,322.93,320.73,335.00,1011,5497,-327,0.20,-0.05,0.34,108.23,10.02,-20244.75
77822419,PAD,25.27,0,917.42,830.10,6.08,9.68,28.78,0.43,0.01,0.68,323.54,320.61,335.37,1011,5497,-327,0.20,-0.39,0.34,108.23,10.02,-20244.75
77832416,PAD,24.80,0,917.20,832.10,6.11,9.67,28.76,0.44,0.01,0.69,323.90,320.49,335.49,1011,5497,-327,0.10,-0.29,0.44,108.34,9.94,-20245.64
77842435,PAD,24.80,0,917.39,830.40,6.11,9.67,28.76,0.45,0.01,0.70,324.39,320.85,335.73,1011,5497,-327,0.10,-0.05,0.44,108.36,9.94,-20245.64
77852416,PAD,24.80,0,917.39,830.40,6.15,9.66,28.76,0.46,0.01,0.71,324.88,320.73,336.34,1011,5497,-327,0.05,-0.10,0.44,108.36,9.96,-20244.75
77862419,PAD,24.80,0,917.39,830.40,6.15,9.66,28.76,0.49,0.02,0.72,325.00,320.85,337.20,1011,5497,-327,0.49,-0.63,0.68,108.36,9.96,-20244.75
77872416,PAD,25.27,0,917.59,828.60,6.19,9.66,28.76,0.51,0.01,0.72,325.49,321.34,338.66,1011,5497,-327,0.15,-0.20,0.29,108.37,10.00,-20243.44
77882419,PAD,24.80,0,917.39,830.40,6.19,9.66,28.76,0.52,0.01,0.72,325.85,321.46,340.73,1011,5497,-327,0.34,-0.29,0.24,108.37,10.00,-20243.44
77892416,PAD,24.80,0,917.20,832.10,6.22,9.66,28.76,0.53,0.01,0.72,326.95,321.59,342.93,1011,5497,-327,-0.20,-0.10,0.78,108.37,10.04,-20242.57
77902419,PAD,25.27,0,917.39,830.40,6.22,9.66,28.76,0.54,0.01,0.72,327.44,322.20,345.12,1011,5497,-327,0.39,-0.49,0.29,108.37,10.04,-20242.57
77912416,PAD,24.80,0,917.39,830.40,6.26,9.66,28.76,0.55,0.02,0.72,328.29,322.32,346.95,1011,5497,-327,0.29,-0.63,0.34,108.37,10.07,-20241.26
77922419,PAD,24.80,0,917.39,830.40,6.26,9.66,28.76,0.57,0.02,0.72,329.63,322.32,347.56,1011,5497,-327,0.05,-0.10,0.39,108.37,10.07,-20241.26
77932416,PAD,24.80,0,917.20,832.10,6.30,9.65,28.76,0.59,0.03,0.73,330.98,322.80,346.22,1011,5497,-327,0.34,-0.44,0.44,108.38,10.10,-20240.37
77942419,PAD,24.80,0,917.20,832.10,6.30,9.65,28.76,0.59,0.03,0.74,332.68,323.29,343.29,1011,5497,-327,-0.05,-0.24,0.54,108.38,10.10,-20240.37
77952416,PAD,24.80,0,917.39,830.40,6.39,9.70,28.76,0.60,0.02,0.76,334.76,323.54,339.15,1011,5497,-327,0.44,-0.78,0.49,108.39,10.14,-20239.07
77962419,PAD,24.80,0,917.59,828.60,6.39,9.70,28.76,0.60,0.01,0.78,336.83,323.78,335.73,1011,5497,-327,0.10,-0.05,0.15,108.39,10.14,-20239.07
77972416,PAD,24.80,0,917.00,833.90,6.36,9.65,28.76,0.60,0.01,0.80,338.29,324.02,333.78,1011,5497,-327,0.15,-0.20,0.39,108.30,10.27,-20236.45
77982419,PAD,25.27,0,917.20,832.10,6.36,9.65,28.76,0.61,0.01,0.83,339.88,324.27,331.83,1011,5497,-327,0.00,-0.34,0.63,108.30,10.27,-20236.45
77992416,PAD,24.80,0,917.56,828.90,6.45,9.72,28.74,0.62,0.00,0.88,341.34,324.51,330.98,1011,5497,-327,0.29,-0.39,0.39,108.39,10.19,-20237.34
78002419,PAD,24.80,0,917.36,830.70,6.45,9.72,28.74,0.61,0.01,0.90,342.56,325.00,331.22,1011,5497,-327,0.59,-1.07,0.68,108.39,10.19,-20237.34
78012416,PAD,24.80,0,917.20,832.10,6.49,9.75,28.76,0.62,0.02,0.92,343.90,324.76,331.95,1011,5497,-327,0.68,-0.83,0.24,108.28,10.34,-20234.71
78022419,PAD,25.27,0,917.39,830.40,6.49,9.75,28.76,0.65,0.03,0.92,344.88,325.24,333.05,1011,5497,-327,0.20,-0.29,0.78,108.28,10.34,-20234.71
78032416,PAD,25.27,0,917.16,832.50,6.52,9.78,28.74,0.66,0.04,0.91,345.24,325.49,334.88,1011,5497,-327,0.34,-0.73,0.59,108.22,10.41,-20233.83
78042435,PAD,24.80,0,917.56,828.90,6.52,9.78,28.74,0.68,0.06,0.90,346.71,325.61,337.07,1011,5497,-327,0.10,-0.63,0.88,108.17,10.41,-20233.83
78052416,PAD,24.80,0,917.20,832.10,6.49,9.75,28.76,0.70,0.10,0.91,347.44,325.98,338.66,1011,5497,-327,0.34,-0.63,0.63,108.17,10.46,-20232.96
78062419,PAD,24.80,0,917.36,830.70,6.49,9.75,28.74,0.74,0.18,0.96,347.80,325.85,338.66,1011,5497,-327,0.59,-0.73,0.78,108.17,10.46,-20232.96
78072416,PAD,24.80,0,916.97,834.20,6.53,9.80,28.74,0.77,0.27,1.04,347.80,326.71,336.34,1011,5497,-327,0.63,-0.68,0.68,108.22,10.42,-20233.83
78082419,PAD,25.27,0,917.36,830.70,6.53,9.80,28.74,0.73,0.32,1.09,347.20,327.80,332.07,1011,5497,-327,0.63,-0.59,0.73,108.22,10.42,-20233.83
78092416,PAD,24.80,0,917.16,832.50,6.57,9.87,28.74,0.66,0.34,1.13,345.98,328.17,327.93,1011,5497,-327,0.54,-0.49,0.78,108.14,10.49,-20232.51
78102419,PAD,25.27,0,917.36,830.70,6.57,9.87,28.74,0.59,0.33,1.16,344.15,327.80,324.88,1011,5497,-327,0.44,-0.39,0.83,108.14,10.49,-20232.51
78112416,PAD,25.27,0,916.97,834.20,6.61,9.95,28.74,0.54,0.29,1.16,342.32,327.32,323.41,1011,5497,-327,0.34,-0.34,0.88,108.03,10.59,-20231.22
